"Aplicativo","DataAlteracao","Descricao","StatusCruzamento","VersaoProducaoListada","EnviadoProducaoEm","EnviadoProducaoPor","FonteProducao","Regra"
"MENU.ZIP","10/09/2026 18:33:20","Adicionado UUID na tabela EST_MENSAL_APONTA no Apontamento Automático Estoque Negativo","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"PROMIS.ZIP","28/08/2026 19:52:53","Ajustado Problema no Fluxo de Lançamentos do Contas a Receber (Promis)","Somado na versao em producao","28/08/2026 19:52:43","03/09/2026 18:01:30","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SCANTECH.ZIP","27/08/2026 16:55:20","- Recompilação do Projeto visando atualizar Utilitarios.cs","Somado na versao em producao","27/08/2026 16:55:18","03/09/2026 18:01:08","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","03/08/2026 19:40:51","* - Implementada danfe simplificada para poder ficar pendente caso ocorra erro de comuinicacao com se-faz | * - Adicionado upd_220 entrada em Y | * - Adicionado a Mensagem quando item faz faz parte da lei complementar ""Operação sujeita ao disposto na LC n° 224 de 2025""","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","05/08/2026 18:29:47","Ajustes no XML para danfe simplificada | tpimp = 6 | Removido tag data e hora saida | Removido tag PISST","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","06/08/2026 12:03:03","Retornado para tpimp=3 para danfe simplificada e adicionada a tag PISST + dthr saida","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","10/08/2026 18:16:28","Ajustado para venda NFCe e DanfeSimplificada no PDV a gravacao na tabela PV_ATEND  para o pre-venda | Adicionado Upd_221","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","12/08/2026 14:03:33","Adicionado UPDs_222,223,224,225","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","13/08/2026 13:53:14","Adicionado UPD_226  com correção de juros/multa no ServerNFe","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"SERVIDOR.ZIP","14/08/2026 11:37:09","Retirado excecao no sequencia.ib qdo atingir o limite de alter Table","Somado na versao em producao","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
