"Aplicativo","DataHora","Data","Usuario","Descricao","StatusProducao","CriterioConfirmacao","EnviadoProducaoEm","EnviadoProducaoPor","VersaoListada","VersaoMinimaBanco","FonteBeta","FonteProducao"
"WGLCTONOTA.ZIP","03/08/2026 15:57:08","03/08/2026","1077","A sugestão de CFOP da entrada manual foi ajustada: | UF do fornecedor igual à UF da loja: 5102 | UF diferente: 6102 | ----- | Ajustado para todos os pontos onde seja possível preencher manualmente o campo Documento da fatura limitar a 30 caracteres, tamanho do banco de dados, evitando Overflow. | ----- | Ajustado ordenação da revisão de faturas na entrada assistida e manual. | ---- | Melhorada a busca e associação de produtos:GTIN correspondente não força mais 100% de similaridade. | Descrição passou a representar 98% da similaridade. | UNM e NCM acrescentam 1% cada quando compatíveis. | Divergências de UNM/NCM continuam reduzindo a pontuação. | Incluídos alertas para divergências de descrição, peso/apresentação, unidade, NCM e fornecedor. | Adicionado ícone de sucesso na coluna Critério quando o GTIN corresponde. | ----- | Redesenhada a tela de associação de produtos para resolução mínima de 1000×600 px, com melhor distribuição dos dados e da grade. | ----- | Implementado o bloqueio de valores negativos. | Entrada Manual: frete, seguro, despesas e desconto são rejeitados ao incluir o item; a regra também foi reforçada no cálculo e na validação final. | Auditoria: incluídas validações para custo de compra e todos os campos de ICMS ST. | Salvamento central: valida todas as propriedades decimais dos itens antes de persistir, cobrindo campos preenchidos indiretamente. | ----- | CFOP e CST agora são validados contra os registros ativos de TAB_CFOP e TAB_CST na entrada manual, tanto ao adicionar o item quanto antes de gravar a nota. | Incluídos botões F4 e atalho F4 para pesquisar CFOP e CST na entrada manual. | O CST digitado passou a ser preservado; não é mais substituído silenciosamente pelo CST do produto na entrada manual. | ---- | Analise > Variações preço compra: | Ajustado: o botão agora abre o cadastro com o código do produto da linha selecionada. Sem seleção, exibe um aviso e não abre o cadastro vazio.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","04/08/2026 11:04:26","04/08/2026","1077","## Entrada de Notas — Configuração Financeira | - Incluída configuração de meio de pagamento e espécie de documento por fornecedor, com prevalência sobre a configuração da loja. | - Permite selecionar ou alterar essas configurações na etapa de faturas das entradas manual e assistida; a seleção da fatura prevalece sobre as configurações padrão. | - Atualizadas as validações e mensagens para orientar a configuração por fornecedor ou loja. | - Na entrada manual, ao alterar o fornecedor, produtos, faturas e configurações financeiras carregadas são limpos.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","04/08/2026 17:14:17","04/08/2026","1077","---- | Adicionada validação de configuração financeira ao abrir o Controle de Entradas. | Regra central de gravação preservada. | ---- | Raking de produtos comprados: | Corrigida a ordenação do Ranking por valor numérico. | Corrigida a ordenação do Código do Produto. | Corrigida a ordenação cronológica de Última Compra. | ---- | Analise: Variação de preço de compra | Corrigida a ordenação numérica da coluna Produto. | Corrigida a ordenação cronológica de Data de Entrada e Data Anterior. | ---- | Corrigido layout do valor total do item no lançamento manual. | Grades da revisão com redimensionamento de colunas habilitado. | ----","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","05/08/2026 09:23:52","05/08/2026","1077","Ajuste overflow na serie da NF na entrada manual.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","05/08/2026 10:34:57","05/08/2026","1077","Ajustado coluna Conv. CFOP da etapa de CFOP/CST da entrada manual, mas segue a situação auto-size.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","05/08/2026 13:20:47","05/08/2026","1077","Corrigido Dashboard: As duas roscas agora reduzem automaticamente o raio interno conforme a área útil do gráfico; em 1366×768 elas permanecem inteiras, sem invadir a grade","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","05/08/2026 16:55:38","05/08/2026","1077","- Corrigida a conversão da quantidade do item na tela de lotes da Entrada Assistida. | - Lotes importados do XML agora exibem a quantidade já convertida pelo fator da associação. | - Exemplo: `0,100 MIL × 50` passa a exibir `5,000` unidades. | - Validação de quantidade inteira dos lotes passa a considerar o valor convertido.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","06/08/2026 10:15:39","06/08/2026","1077","- Ajustado responsividade do Dashboard","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","06/08/2026 10:34:15","06/08/2026","1077","Ajustado posição das colunas da etapa de conversão CFOP e CST","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","06/08/2026 11:02:53","06/08/2026","1077","Adicionado validação da configuração de plano financeiro sugerido ao abrir o módulo, mas mantem validação antes da gravação da entrada.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
